Region/Country/Area,,Year,Series,Value
100,Bulgaria,2000,Primary energy production (petajoules),410
100,Bulgaria,2005,Primary energy production (petajoules),444
100,Bulgaria,2010,Primary energy production (petajoules),442
100,Bulgaria,2015,Primary energy production (petajoules),507
100,Bulgaria,2016,Primary energy production (petajoules),474
100,Bulgaria,2017,Primary energy production (petajoules),493
100,Bulgaria,2018,Primary energy production (petajoules),506
100,Bulgaria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),546
100,Bulgaria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),358
100,Bulgaria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),384
100,Bulgaria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),291
100,Bulgaria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),275
100,Bulgaria,2016,Net imports [Imports - Exports - Bunkers] (petajoules),285
100,Bulgaria,2017,Net imports [Imports - Exports - Bunkers] (petajoules),299
100,Bulgaria,2018,Net imports [Imports - Exports - Bunkers] (petajoules),276
100,Bulgaria,1995,Changes in stocks (petajoules),7
100,Bulgaria,2000,Changes in stocks (petajoules),-5
100,Bulgaria,2005,Changes in stocks (petajoules),2
100,Bulgaria,2010,Changes in stocks (petajoules),-9
100,Bulgaria,2015,Changes in stocks (petajoules),6
100,Bulgaria,2016,Changes in stocks (petajoules),1
100,Bulgaria,2017,Changes in stocks (petajoules),9
100,Bulgaria,2018,Changes in stocks (petajoules),1
100,Bulgaria,1995,Total supply (petajoules),966
100,Bulgaria,2000,Total supply (petajoules),773
100,Bulgaria,2005,Total supply (petajoules),826
100,Bulgaria,2010,Total supply (petajoules),741
100,Bulgaria,2015,Total supply (petajoules),778
100,Bulgaria,2016,Total supply (petajoules),757
100,Bulgaria,2017,Total supply (petajoules),782
100,Bulgaria,2018,Total supply (petajoules),780
100,Bulgaria,1995,Supply per capita (gigajoules),116
100,Bulgaria,2000,Supply per capita (gigajoules),97
100,Bulgaria,2005,Supply per capita (gigajoules),107
100,Bulgaria,2010,Supply per capita (gigajoules),100
100,Bulgaria,2015,Supply per capita (gigajoules),108
100,Bulgaria,2016,Supply per capita (gigajoules),106
100,Bulgaria,2017,Supply per capita (gigajoules),110
100,Bulgaria,2018,Supply per capita (gigajoules),111
854,Burkina Faso,1995,Primary energy production (petajoules),96
854,Burkina Faso,2000,Primary energy production (petajoules),69
854,Burkina Faso,2005,Primary energy production (petajoules),98
854,Burkina Faso,2010,Primary energy production (petajoules),118
854,Burkina Faso,2015,Primary energy production (petajoules),126
854,Burkina Faso,2016,Primary energy production (petajoules),128
854,Burkina Faso,2017,Primary energy production (petajoules),129
854,Burkina Faso,2018,Primary energy production (petajoules),131
854,Burkina Faso,1995,Net imports [Imports - Exports - Bunkers] (petajoules),10
854,Burkina Faso,2000,Net imports [Imports - Exports - Bunkers] (petajoules),12
854,Burkina Faso,2005,Net imports [Imports - Exports - Bunkers] (petajoules),16
854,Burkina Faso,2010,Net imports [Imports - Exports - Bunkers] (petajoules),26
854,Burkina Faso,2015,Net imports [Imports - Exports - Bunkers] (petajoules),51
854,Burkina Faso,2016,Net imports [Imports - Exports - Bunkers] (petajoules),42
854,Burkina Faso,2017,Net imports [Imports - Exports - Bunkers] (petajoules),52
854,Burkina Faso,2018,Net imports [Imports - Exports - Bunkers] (petajoules),67
854,Burkina Faso,1995,Changes in stocks (petajoules),1
854,Burkina Faso,2000,Changes in stocks (petajoules),-1
854,Burkina Faso,2005,Changes in stocks (petajoules),0
854,Burkina Faso,2010,Changes in stocks (petajoules),-2
854,Burkina Faso,2015,Changes in stocks (petajoules),4
854,Burkina Faso,2016,Changes in stocks (petajoules),-6
854,Burkina Faso,2017,Changes in stocks (petajoules),-4
854,Burkina Faso,2018,Changes in stocks (petajoules),4
854,Burkina Faso,1995,Total supply (petajoules),104
854,Burkina Faso,2000,Total supply (petajoules),83
854,Burkina Faso,2005,Total supply (petajoules),114
854,Burkina Faso,2010,Total supply (petajoules),145
854,Burkina Faso,2015,Total supply (petajoules),172
854,Burkina Faso,2016,Total supply (petajoules),176
854,Burkina Faso,2017,Total supply (petajoules),185
854,Burkina Faso,2018,Total supply (petajoules),193
854,Burkina Faso,1995,Supply per capita (gigajoules),10
854,Burkina Faso,2000,Supply per capita (gigajoules),7
854,Burkina Faso,2005,Supply per capita (gigajoules),8
854,Burkina Faso,2010,Supply per capita (gigajoules),9
854,Burkina Faso,2015,Supply per capita (gigajoules),10
854,Burkina Faso,2016,Supply per capita (gigajoules),9
854,Burkina Faso,2017,Supply per capita (gigajoules),10
854,Burkina Faso,2018,Supply per capita (gigajoules),10
108,Burundi,1995,Primary energy production (petajoules),49
108,Burundi,2000,Primary energy production (petajoules),51
108,Burundi,2005,Primary energy production (petajoules),53
108,Burundi,2010,Primary energy production (petajoules),54
108,Burundi,2015,Primary energy production (petajoules),56
108,Burundi,2016,Primary energy production (petajoules),56
108,Burundi,2017,Primary energy production (petajoules),56
108,Burundi,2018,Primary energy production (petajoules),56
108,Burundi,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
108,Burundi,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
108,Burundi,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
108,Burundi,2010,Net imports [Imports - Exports - Bunkers] (petajoules),5
108,Burundi,2015,Net imports [Imports - Exports - Bunkers] (petajoules),6
108,Burundi,2016,Net imports [Imports - Exports - Bunkers] (petajoules),7
108,Burundi,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
108,Burundi,2018,Net imports [Imports - Exports - Bunkers] (petajoules),10
108,Burundi,1995,Changes in stocks (petajoules),0
108,Burundi,2000,Changes in stocks (petajoules),0
108,Burundi,2005,Changes in stocks (petajoules),0
108,Burundi,2010,Changes in stocks (petajoules),0
108,Burundi,2015,Changes in stocks (petajoules),0
108,Burundi,2016,Changes in stocks (petajoules),0
108,Burundi,2017,Changes in stocks (petajoules),0
108,Burundi,1995,Total supply (petajoules),53
108,Burundi,2000,Total supply (petajoules),55
108,Burundi,2005,Total supply (petajoules),56
108,Burundi,2010,Total supply (petajoules),58
108,Burundi,2015,Total supply (petajoules),62
108,Burundi,2016,Total supply (petajoules),63
108,Burundi,2017,Total supply (petajoules),63
108,Burundi,2018,Total supply (petajoules),66
108,Burundi,1995,Supply per capita (gigajoules),9
108,Burundi,2000,Supply per capita (gigajoules),9
108,Burundi,2005,Supply per capita (gigajoules),8
108,Burundi,2010,Supply per capita (gigajoules),7
108,Burundi,2015,Supply per capita (gigajoules),6
108,Burundi,2016,Supply per capita (gigajoules),6
108,Burundi,2017,Supply per capita (gigajoules),6
108,Burundi,2018,Supply per capita (gigajoules),6
132,Cabo Verde,1995,Primary energy production (petajoules),1
132,Cabo Verde,2000,Primary energy production (petajoules),1
132,Cabo Verde,2005,Primary energy production (petajoules),1
132,Cabo Verde,2010,Primary energy production (petajoules),1
132,Cabo Verde,2015,Primary energy production (petajoules),2
132,Cabo Verde,2016,Primary energy production (petajoules),2
132,Cabo Verde,2017,Primary energy production (petajoules),2
132,Cabo Verde,2018,Primary energy production (petajoules),2
132,Cabo Verde,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
132,Cabo Verde,2000,Net imports [Imports - Exports - Bunkers] (petajoules),4
132,Cabo Verde,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
132,Cabo Verde,2010,Net imports [Imports - Exports - Bunkers] (petajoules),7
132,Cabo Verde,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
132,Cabo Verde,2016,Net imports [Imports - Exports - Bunkers] (petajoules),8
132,Cabo Verde,2017,Net imports [Imports - Exports - Bunkers] (petajoules),9
132,Cabo Verde,2018,Net imports [Imports - Exports - Bunkers] (petajoules),9
132,Cabo Verde,1995,Total supply (petajoules),3
132,Cabo Verde,2000,Total supply (petajoules),5
132,Cabo Verde,2005,Total supply (petajoules),8
132,Cabo Verde,2010,Total supply (petajoules),9
132,Cabo Verde,2015,Total supply (petajoules),9
132,Cabo Verde,2016,Total supply (petajoules),9
132,Cabo Verde,2017,Total supply (petajoules),10
132,Cabo Verde,2018,Total supply (petajoules),10
132,Cabo Verde,1995,Supply per capita (gigajoules),7
132,Cabo Verde,2000,Supply per capita (gigajoules),10
132,Cabo Verde,2005,Supply per capita (gigajoules),16
132,Cabo Verde,2010,Supply per capita (gigajoules),19
132,Cabo Verde,2015,Supply per capita (gigajoules),17
132,Cabo Verde,2016,Supply per capita (gigajoules),17
132,Cabo Verde,2017,Supply per capita (gigajoules),18
132,Cabo Verde,2018,Supply per capita (gigajoules),19
116,Cambodia,1995,Primary energy production (petajoules),98
116,Cambodia,2000,Primary energy production (petajoules),114
116,Cambodia,2005,Primary energy production (petajoules),105
116,Cambodia,2010,Primary energy production (petajoules),152
116,Cambodia,2015,Primary energy production (petajoules),184
116,Cambodia,2016,Primary energy production (petajoules),191
116,Cambodia,2017,Primary energy production (petajoules),198
116,Cambodia,2018,Primary energy production (petajoules),211
116,Cambodia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),22
116,Cambodia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),28
116,Cambodia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),39
116,Cambodia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),72
116,Cambodia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),111
116,Cambodia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),126
116,Cambodia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),139
116,Cambodia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),133
116,Cambodia,2017,Changes in stocks (petajoules),-2
116,Cambodia,1995,Total supply (petajoules),119
116,Cambodia,2000,Total supply (petajoules),142
116,Cambodia,2005,Total supply (petajoules),144
116,Cambodia,2010,Total supply (petajoules),223
116,Cambodia,2015,Total supply (petajoules),295
116,Cambodia,2016,Total supply (petajoules),318
116,Cambodia,2017,Total supply (petajoules),339
116,Cambodia,2018,Total supply (petajoules),344
116,Cambodia,1995,Supply per capita (gigajoules),11
116,Cambodia,2000,Supply per capita (gigajoules),11
116,Cambodia,2005,Supply per capita (gigajoules),11
116,Cambodia,2010,Supply per capita (gigajoules),16
116,Cambodia,2015,Supply per capita (gigajoules),19
116,Cambodia,2016,Supply per capita (gigajoules),20
116,Cambodia,2017,Supply per capita (gigajoules),21
116,Cambodia,2018,Supply per capita (gigajoules),21
120,Cameroon,1995,Primary energy production (petajoules),457
120,Cameroon,2000,Primary energy production (petajoules),532
120,Cameroon,2005,Primary energy production (petajoules),442
120,Cameroon,2010,Primary energy production (petajoules),351
120,Cameroon,2015,Primary energy production (petajoules),493
120,Cameroon,2016,Primary energy production (petajoules),499
120,Cameroon,2017,Primary energy production (petajoules),476
120,Cameroon,2018,Primary energy production (petajoules),502
120,Cameroon,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-219
120,Cameroon,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-268
120,Cameroon,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-152
120,Cameroon,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-73
120,Cameroon,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-112
120,Cameroon,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-114
120,Cameroon,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-84
120,Cameroon,2018,Net imports [Imports - Exports - Bunkers] (petajoules),-98
120,Cameroon,1995,Changes in stocks (petajoules),2
120,Cameroon,2000,Changes in stocks (petajoules),0
120,Cameroon,2005,Changes in stocks (petajoules),-5
120,Cameroon,2010,Changes in stocks (petajoules),-13
120,Cameroon,2015,Changes in stocks (petajoules),-1
120,Cameroon,2016,Changes in stocks (petajoules),0
120,Cameroon,1995,Total supply (petajoules),237
120,Cameroon,2000,Total supply (petajoules),264
120,Cameroon,2005,Total supply (petajoules),295
120,Cameroon,2010,Total supply (petajoules),291
120,Cameroon,2015,Total supply (petajoules),382
120,Cameroon,2016,Total supply (petajoules),385
120,Cameroon,2017,Total supply (petajoules),393
120,Cameroon,2018,Total supply (petajoules),404
120,Cameroon,1995,Supply per capita (gigajoules),17
120,Cameroon,2000,Supply per capita (gigajoules),17
120,Cameroon,2005,Supply per capita (gigajoules),17
120,Cameroon,2010,Supply per capita (gigajoules),14
120,Cameroon,2015,Supply per capita (gigajoules),16
120,Cameroon,2016,Supply per capita (gigajoules),16
120,Cameroon,2017,Supply per capita (gigajoules),16
120,Cameroon,2018,Supply per capita (gigajoules),16
124,Canada,1995,Primary energy production (petajoules),"14,725"
124,Canada,2000,Primary energy production (petajoules),"15,688"
124,Canada,2005,Primary energy production (petajoules),"16,819"
124,Canada,2010,Primary energy production (petajoules),"16,662"
124,Canada,2015,Primary energy production (petajoules),"19,766"
124,Canada,2016,Primary energy production (petajoules),"20,053"
124,Canada,2017,Primary energy production (petajoules),"21,276"
124,Canada,2018,Primary energy production (petajoules),"22,149"
124,Canada,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,089"
124,Canada,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,432"
124,Canada,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,513"
124,Canada,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,087"
124,Canada,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,907"
124,Canada,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,321"
124,Canada,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,981"
124,Canada,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,593"
124,Canada,1995,Changes in stocks (petajoules),-146
124,Canada,2000,Changes in stocks (petajoules),-353
124,Canada,2005,Changes in stocks (petajoules),-135
124,Canada,2010,Changes in stocks (petajoules),-327
124,Canada,2015,Changes in stocks (petajoules),49
124,Canada,2016,Changes in stocks (petajoules),-203
124,Canada,2017,Changes in stocks (petajoules),-23
124,Canada,2018,Changes in stocks (petajoules),110
124,Canada,1995,Total supply (petajoules),"9,783"
124,Canada,2000,Total supply (petajoules),"10,609"
124,Canada,2005,Total supply (petajoules),"11,441"
124,Canada,2010,Total supply (petajoules),"10,902"
124,Canada,2015,Total supply (petajoules),"11,810"
124,Canada,2016,Total supply (petajoules),"11,934"
124,Canada,2017,Total supply (petajoules),"12,318"
124,Canada,2018,Total supply (petajoules),"12,446"
124,Canada,1995,Supply per capita (gigajoules),334
124,Canada,2000,Supply per capita (gigajoules),346
124,Canada,2005,Supply per capita (gigajoules),354
124,Canada,2010,Supply per capita (gigajoules),319
124,Canada,2015,Supply per capita (gigajoules),328
124,Canada,2016,Supply per capita (gigajoules),328
124,Canada,2017,Supply per capita (gigajoules),335
124,Canada,2018,Supply per capita (gigajoules),336
136,Cayman Islands,1995,Net imports [Imports - Exports - Bunkers] (petajoules),6
136,Cayman Islands,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7
136,Cayman Islands,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7
136,Cayman Islands,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,2016,Net imports [Imports - Exports - Bunkers] (petajoules),7
136,Cayman Islands,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,2018,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,1995,Total supply (petajoules),5
136,Cayman Islands,2000,Total supply (petajoules),7
136,Cayman Islands,2005,Total supply (petajoules),7
136,Cayman Islands,2010,Total supply (petajoules),8
136,Cayman Islands,2015,Total supply (petajoules),8
136,Cayman Islands,2016,Total supply (petajoules),8
136,Cayman Islands,2017,Total supply (petajoules),8
136,Cayman Islands,2018,Total supply (petajoules),9
136,Cayman Islands,1995,Supply per capita (gigajoules),159
136,Cayman Islands,2000,Supply per capita (gigajoules),165
136,Cayman Islands,2005,Supply per capita (gigajoules),130
136,Cayman Islands,2010,Supply per capita (gigajoules),141
136,Cayman Islands,2015,Supply per capita (gigajoules),130
136,Cayman Islands,2016,Supply per capita (gigajoules),126
136,Cayman Islands,2017,Supply per capita (gigajoules),131
136,Cayman Islands,2018,Supply per capita (gigajoules),136
140,Central African Republic,1995,Primary energy production (petajoules),28
140,Central African Republic,2000,Primary energy production (petajoules),19
140,Central African Republic,2005,Primary energy production (petajoules),19
140,Central African Republic,2010,Primary energy production (petajoules),19
140,Central African Republic,2015,Primary energy production (petajoules),19
140,Central African Republic,2016,Primary energy production (petajoules),19
140,Central African Republic,2017,Primary energy production (petajoules),19
140,Central African Republic,2018,Primary energy production (petajoules),19
140,Central African Republic,1995,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2000,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2010,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
140,Central African Republic,2016,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2017,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2018,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,1995,Changes in stocks (petajoules),0
140,Central African Republic,1995,Total supply (petajoules),31
140,Central African Republic,2000,Total supply (petajoules),22
140,Central African Republic,2005,Total supply (petajoules),22
140,Central African Republic,2010,Total supply (petajoules),21
140,Central African Republic,2015,Total supply (petajoules),21
140,Central African Republic,2016,Total supply (petajoules),22
140,Central African Republic,2017,Total supply (petajoules),22
140,Central African Republic,2018,Total supply (petajoules),22
140,Central African Republic,1995,Supply per capita (gigajoules),9
140,Central African Republic,2000,Supply per capita (gigajoules),6
140,Central African Republic,2005,Supply per capita (gigajoules),5
140,Central African Republic,2010,Supply per capita (gigajoules),5
140,Central African Republic,2015,Supply per capita (gigajoules),5
140,Central African Republic,2016,Supply per capita (gigajoules),5
140,Central African Republic,2017,Supply per capita (gigajoules),5
140,Central African Republic,2018,Supply per capita (gigajoules),5
148,Chad,1995,Primary energy production (petajoules),48
148,Chad,2000,Primary energy production (petajoules),55
148,Chad,2005,Primary energy production (petajoules),433
148,Chad,2010,Primary energy production (petajoules),324
148,Chad,2015,Primary energy production (petajoules),375
148,Chad,2016,Primary energy production (petajoules),347
148,Chad,2017,Primary energy production (petajoules),318
148,Chad,2018,Primary energy production (petajoules),349
148,Chad,1995,Net imports [Imports - Exports - Bunkers] (petajoules),6
148,Chad,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7
148,Chad,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-362
148,Chad,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-245
148,Chad,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-297
148,Chad,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-263
148,Chad,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-233
148,Chad,2018,Net imports [Imports - Exports - Bunkers] (petajoules),-263
148,Chad,1995,Changes in stocks (petajoules),0
148,Chad,2017,Changes in stocks (petajoules),0
148,Chad,1995,Total supply (petajoules),54
148,Chad,2000,Total supply (petajoules),62
148,Chad,2005,Total supply (petajoules),71
148,Chad,2010,Total supply (petajoules),80
148,Chad,2015,Total supply (petajoules),79
148,Chad,2016,Total supply (petajoules),84
148,Chad,2017,Total supply (petajoules),85
148,Chad,2018,Total supply (petajoules),86
148,Chad,1995,Supply per capita (gigajoules),8
148,Chad,2000,Supply per capita (gigajoules),7
148,Chad,2005,Supply per capita (gigajoules),7
148,Chad,2010,Supply per capita (gigajoules),7
148,Chad,2015,Supply per capita (gigajoules),6
148,Chad,2016,Supply per capita (gigajoules),6
148,Chad,2017,Supply per capita (gigajoules),6
148,Chad,2018,Supply per capita (gigajoules),6
152,Chile,1995,Primary energy production (petajoules),346
152,Chile,2000,Primary energy production (petajoules),359
152,Chile,2005,Primary energy production (petajoules),391
152,Chile,2010,Primary energy production (petajoules),386
152,Chile,2015,Primary energy production (petajoules),541
152,Chile,2016,Primary energy production (petajoules),525
152,Chile,2017,Primary energy production (petajoules),543
152,Chile,2018,Primary energy production (petajoules),571
152,Chile,1995,Net imports [Imports - Exports - Bunkers] (petajoules),444
152,Chile,2000,Net imports [Imports - Exports - Bunkers] (petajoules),730
152,Chile,2005,Net imports [Imports - Exports - Bunkers] (petajoules),800
152,Chile,2010,Net imports [Imports - Exports - Bunkers] (petajoules),894
152,Chile,2015,Net imports [Imports - Exports - Bunkers] (petajoules),974
152,Chile,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"1,064"
152,Chile,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"1,063"
152,Chile,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"1,071"
152,Chile,1995,Changes in stocks (petajoules),10
152,Chile,2000,Changes in stocks (petajoules),8
152,Chile,2005,Changes in stocks (petajoules),3
152,Chile,2010,Changes in stocks (petajoules),-6
152,Chile,2015,Changes in stocks (petajoules),4
152,Chile,2016,Changes in stocks (petajoules),6
152,Chile,2017,Changes in stocks (petajoules),4
152,Chile,2018,Changes in stocks (petajoules),7
152,Chile,1995,Total supply (petajoules),780
152,Chile,2000,Total supply (petajoules),"1,082"
152,Chile,2005,Total supply (petajoules),"1,187"
152,Chile,2010,Total supply (petajoules),"1,286"
152,Chile,2015,Total supply (petajoules),"1,510"
152,Chile,2016,Total supply (petajoules),"1,582"
152,Chile,2017,Total supply (petajoules),"1,603"
152,Chile,2018,Total supply (petajoules),"1,635"
152,Chile,1995,Supply per capita (gigajoules),54
152,Chile,2000,Supply per capita (gigajoules),70
152,Chile,2005,Supply per capita (gigajoules),73
152,Chile,2010,Supply per capita (gigajoules),75
152,Chile,2015,Supply per capita (gigajoules),84
152,Chile,2016,Supply per capita (gigajoules),87
152,Chile,2017,Supply per capita (gigajoules),87
152,Chile,2018,Supply per capita (gigajoules),87
156,China,1995,Primary energy production (petajoules),"39,692"
156,China,2000,Primary energy production (petajoules),"40,783"
156,China,2005,Primary energy production (petajoules),"63,831"
156,China,2010,Primary energy production (petajoules),"88,642"
156,China,2015,Primary energy production (petajoules),"100,808"
156,China,2016,Primary energy production (petajoules),"95,691"
156,China,2017,Primary energy production (petajoules),"99,228"
156,China,2018,Primary energy production (petajoules),"103,893"
156,China,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-397
156,China,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"1,426"
156,China,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"4,251"
156,China,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"14,225"
156,China,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"18,874"
156,China,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"21,705"
156,China,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"24,290"
156,China,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"27,176"
156,China,1995,Changes in stocks (petajoules),132
156,China,2000,Changes in stocks (petajoules),-251
156,China,2005,Changes in stocks (petajoules),-752
156,China,2010,Changes in stocks (petajoules),"1,248"
156,China,2015,Changes in stocks (petajoules),-187
156,China,2016,Changes in stocks (petajoules),"-2,375"
156,China,2017,Changes in stocks (petajoules),-91
156,China,2018,Changes in stocks (petajoules),"1,417"
156,China,1995,Total supply (petajoules),"39,163"
156,China,2000,Total supply (petajoules),"42,461"
156,China,2005,Total supply (petajoules),"68,833"
156,China,2010,Total supply (petajoules),"101,618"
156,China,2015,Total supply (petajoules),"119,870"
156,China,2016,Total supply (petajoules),"119,771"
156,China,2017,Total supply (petajoules),"123,608"
156,China,2018,Total supply (petajoules),"129,651"
156,China,1995,Supply per capita (gigajoules),32
156,China,2000,Supply per capita (gigajoules),33
156,China,2005,Supply per capita (gigajoules),53
156,China,2010,Supply per capita (gigajoules),74
156,China,2015,Supply per capita (gigajoules),85
156,China,2016,Supply per capita (gigajoules),85
156,China,2017,Supply per capita (gigajoules),87
156,China,2018,Supply per capita (gigajoules),91
344,"China, Hong Kong SAR",1995,Net imports [Imports - Exports - Bunkers] (petajoules),382
344,"China, Hong Kong SAR",2000,Net imports [Imports - Exports - Bunkers] (petajoules),571
344,"China, Hong Kong SAR",2005,Net imports [Imports - Exports - Bunkers] (petajoules),578
344,"China, Hong Kong SAR",2010,Net imports [Imports - Exports - Bunkers] (petajoules),672
344,"China, Hong Kong SAR",2015,Net imports [Imports - Exports - Bunkers] (petajoules),634
344,"China, Hong Kong SAR",2016,Net imports [Imports - Exports - Bunkers] (petajoules),643
344,"China, Hong Kong SAR",2017,Net imports [Imports - Exports - Bunkers] (petajoules),585
344,"China, Hong Kong SAR",2018,Net imports [Imports - Exports - Bunkers] (petajoules),595
344,"China, Hong Kong SAR",1995,Changes in stocks (petajoules),-16
344,"China, Hong Kong SAR",2000,Changes in stocks (petajoules),1
344,"China, Hong Kong SAR",2005,Changes in stocks (petajoules),-2
344,"China, Hong Kong SAR",2010,Changes in stocks (petajoules),129
344,"China, Hong Kong SAR",2015,Changes in stocks (petajoules),59
344,"China, Hong Kong SAR",2016,Changes in stocks (petajoules),53
344,"China, Hong Kong SAR",2017,Changes in stocks (petajoules),-2
344,"China, Hong Kong SAR",2018,Changes in stocks (petajoules),6
344,"China, Hong Kong SAR",1995,Total supply (petajoules),398
344,"China, Hong Kong SAR",2000,Total supply (petajoules),570
344,"China, Hong Kong SAR",2005,Total supply (petajoules),579
344,"China, Hong Kong SAR",2010,Total supply (petajoules),544
344,"China, Hong Kong SAR",2015,Total supply (petajoules),576
344,"China, Hong Kong SAR",2016,Total supply (petajoules),590
344,"China, Hong Kong SAR",2017,Total supply (petajoules),587
344,"China, Hong Kong SAR",2018,Total supply (petajoules),589
344,"China, Hong Kong SAR",1995,Supply per capita (gigajoules),65
344,"China, Hong Kong SAR",2000,Supply per capita (gigajoules),84
344,"China, Hong Kong SAR",2005,Supply per capita (gigajoules),85
344,"China, Hong Kong SAR",2010,Supply per capita (gigajoules),78
344,"China, Hong Kong SAR",2015,Supply per capita (gigajoules),80
344,"China, Hong Kong SAR",2016,Supply per capita (gigajoules),81
344,"China, Hong Kong SAR",2017,Supply per capita (gigajoules),80
344,"China, Hong Kong SAR",2018,Supply per capita (gigajoules),80
446,"China, Macao SAR",2005,Primary energy production (petajoules),3
446,"China, Macao SAR",2010,Primary energy production (petajoules),4
446,"China, Macao SAR",2015,Primary energy production (petajoules),5
446,"China, Macao SAR",2016,Primary energy production (petajoules),5
446,"China, Macao SAR",2017,Primary energy production (petajoules),6
446,"China, Macao SAR",2018,Primary energy production (petajoules),6
446,"China, Macao SAR",1995,Net imports [Imports - Exports - Bunkers] (petajoules),18
446,"China, Macao SAR",2000,Net imports [Imports - Exports - Bunkers] (petajoules),23
446,"China, Macao SAR",2005,Net imports [Imports - Exports - Bunkers] (petajoules),26
446,"China, Macao SAR",2010,Net imports [Imports - Exports - Bunkers] (petajoules),29
446,"China, Macao SAR",2015,Net imports [Imports - Exports - Bunkers] (petajoules),41
446,"China, Macao SAR",2016,Net imports [Imports - Exports - Bunkers] (petajoules),40
446,"China, Macao SAR",2017,Net imports [Imports - Exports - Bunkers] (petajoules),43
446,"China, Macao SAR",2018,Net imports [Imports - Exports - Bunkers] (petajoules),36
446,"China, Macao SAR",1995,Changes in stocks (petajoules),0
446,"China, Macao SAR",2000,Changes in stocks (petajoules),0
446,"China, Macao SAR",2005,Changes in stocks (petajoules),0
446,"China, Macao SAR",2010,Changes in stocks (petajoules),0
446,"China, Macao SAR",2015,Changes in stocks (petajoules),1
446,"China, Macao SAR",2016,Changes in stocks (petajoules),0
